N	V_rect	V_monte	eps_rect	eps_monte	t_rect	t_monte
57	12.2860331632654	11.65052750724781	0.41316621031475687	5.564381032642953	0.0010263919830322266	0.0009624958038330078
58	12.277785877436004	11.653158502475844	0.480016191280433	5.54305498859002	0.001071929931640625	0.0010709762573242188
59	12.244413465086572	11.632293232768713	0.7505227769000089	5.712182494489463	0.0009648799896240234	0.0009729862213134766
60	12.285423534051738	11.681055321678649	0.4181076785956471	5.316931889271258	0.001178741455078125	0.0011768341064453125
61	12.262666666666572	11.67233261895674	0.6025678977521831	5.387635454418787	0.0012493133544921875	0.0011758804321289062
62	12.305100426908087	11.718930076926835	0.2586127926269452	5.0099306867184525	0.0012140274047851562	0.0012001991271972656
63	12.286898727803754	11.711141797851248	0.4061502084311611	5.07306009907648	0.0013668537139892578	0.0013041496276855469
64	12.28377065111758	11.716776399794643	0.431505443020534	5.027387736015823	0.0014300346374511719	0.0013806819915771484
65	12.272552490234375	11.714595990522717	0.5224364301386537	5.045061467876322	0.0012898445129394531	0.0013434886932373047
66	12.276114701866138	11.726327149599951	0.49356223022547296	4.949972274020168	0.0015974044799804688	0.0014684200286865234
67	12.271224643125473	11.729882247895151	0.5331995534002543	4.921155732641407	0.0016865730285644531	0.0015282630920410156
68	12.320983631630176	11.78524222300951	0.12986838442889748	4.472424676241635	0.0016720294952392578	0.0015621185302734375
69	12.28684103399149	11.760385020536981	0.40661785685895935	4.673909570365941	0.0018417835235595703	0.0016162395477294922
70	12.298183611408009	11.778418920184206	0.31467838730723496	4.527732285730422	0.0020096302032470703	0.0018298625946044922
71	12.295626822157422	11.783392953647928	0.3354029403627125	4.487414289088754	0.0018076896667480469	0.0018227100372314453
72	12.284886466188508	11.779947330629552	0.42246098672353916	4.515343457297323	0.0020012855529785156	0.001814126968383789
73	12.300347222222191	11.802949141561458	0.29714081861648667	4.328897800534289	0.002168416976928711	0.0019068717956542969
74	12.296840497973001	11.804906966263294	0.3255652547473057	4.313028271241945	0.0022640228271484375	0.0018768310546875
75	12.313722780486982	11.827726542957706	0.18872262699523443	4.1280597495703555	0.002302408218383789	0.0019307136535644531
76	12.292778666666637	11.813624968168899	0.35848921920461224	4.242362809476185	0.002404928207397461	0.002088308334350586
77	12.293975069252062	11.821208133451249	0.34879154511917315	4.180895986903131	0.0023488998413085938	0.0022373199462890625
78	12.296994959838543	11.82995200291532	0.32431323402376355	4.110020850606027	0.002602100372314453	0.0020232200622558594
79	12.299499317250849	11.838363389821726	0.3040136774414988	4.041840716411568	0.0027861595153808594	0.0023789405822753906
80	12.294816434399667	11.839369464455114	0.34197169610870676	4.033685782596577	0.0028798580169677734	0.002329111099243164
81	12.317484374999971	11.866894428655817	0.15823229032014924	3.8105768263943216	0.004008769989013672	0.002960681915283203
82	12.30110586123383	11.856464065337924	0.2909915224071619	3.8951221669694016	0.0031816959381103516	0.002363920211791992
83	12.286023127929072	11.847311313515107	0.41324755368715105	3.969311578831197	0.0039997100830078125	0.002803802490234375
84	12.289387481702645	11.855520643824223	0.38597712916474863	3.9027692537247534	0.0032494068145751953	0.002436399459838867
85	12.310374149659644	11.881764753416133	0.2158656061158016	3.6900425139254227	0.003484487533569336	0.0025720596313476562
86	12.323797272542327	11.898800784138679	0.10706187022380152	3.55195365013538	0.004176616668701172	0.0030107498168945312
87	12.29789829826315	11.878745107415998	0.3169910485509035	3.7145188424785873	0.003656625747680664	0.002717733383178711
88	12.310686511678776	11.895633586186069	0.21333369495553164	3.577625989766424	0.0037841796875	0.0028989315032958984
89	12.319109222389068	11.908543670543448	0.14506177346403012	3.472980787525455	0.006893634796142578	0.004507780075073242
90	12.304881491243004	11.899160740959779	0.2603874182851675	3.54903595004146	0.006392717361450195	0.003549337387084961
91	12.310716049382933	11.909264202913466	0.2130942713437556	3.4671403721188296	0.0065953731536865234	0.003558635711669922
92	12.314996198102158	11.917712431674095	0.1784006925919866	3.3986616091021715	0.0066835880279541016	0.003741025924682617
93	12.308426481465984	11.91568405201666	0.23165280985373382	3.4151030353235634	0.007040262222290039	0.004747629165649414
94	12.30760968077593	11.91891741726415	0.2382735468710345	3.388894363801662	0.007771730422973633	0.005220651626586914
95	12.305336967723822	11.920846846091045	0.25669546499254936	3.3732550028020944	0.007258176803588867	0.0053632259368896484
96	12.304347572532423	11.923731488156882	0.2647152003431512	3.349872974922489	0.006956338882446289	0.006143808364868164
97	12.305419921875083	11.929224097784816	0.2560230639690371	3.3053515582194817	0.007893562316894531	0.005839824676513672
98	12.328796841804248	11.955172472326721	0.06653688819822746	3.0950219564450427	0.009805679321289062	0.005537509918212891
99	12.318056252071681	11.948540309529026	0.15359682937586153	3.148780243226734	0.005948305130004883	0.0044705867767333984
100	12.306573540733222	11.940963914784184	0.24667218171474015	3.2101921858898486	0.005411624908447266	0.004016876220703125
101	12.311352000000303	11.949282975451066	0.20793944980055093	3.142760420004981	0.005768299102783203	0.004262208938598633
102	12.319724041809064	11.960786705892682	0.14007823495521074	3.0495146932332275	0.0064508914947509766	0.0052318572998046875
103	12.304023339439492	11.949122441699958	0.2673433348032918	3.1440616575791283	0.006280183792114258	0.004533529281616211
104	12.316459646371094	11.964530801029387	0.16653842772735283	3.0191662011595906	0.006310701370239258	0.004566669464111328
105	12.329234467455434	11.980353684028156	0.06298962828059618	2.890910742434029	0.006727933883666992	0.0047380924224853516
106	12.315117589892884	11.969822710871517	0.1774167277983199	2.9762715956449366	0.008855581283569336	0.00502777099609375
107	12.312560032778553	11.970595499995973	0.19814750492287206	2.970007602941272	0.0073053836822509766	0.005010843276977539
108	12.3128020812329	11.973868245030829	0.1961855340514037	2.9434797308859766	0.00750422477722168	0.005205631256103516
109	12.316700960219606	11.981132392467545	0.1645824113465073	2.8845987695707325	0.007337808609008789	0.005246162414550781
110	12.316338861909562	11.983426909335265	0.1675174696959882	2.866000116376762	0.007630586624145508	0.005522012710571289
111	12.318166791885732	11.98824192787878	0.15270082739192448	2.8269710461296556	0.012005329132080078	0.006372928619384766
112	12.327114550635482	11.999822056868988	0.08017302679426268	2.7331060560481553	0.008692741394042969	0.006697893142700195
113	12.32185563957725	11.997630552491772	0.12280015424145711	2.750869721444701	0.008593082427978516	0.006106376647949219
114	12.316820951184118	11.9954511522937	0.16360980122244811	2.768535274060621	0.009392261505126953	0.006580829620361328
115	12.31972590756677	12.001071912623647	0.1400631116928733	2.722975106892611	0.008725166320800781	0.006276845932006836
116	12.321580669022524	12.005617111380001	0.125028981607184	2.686133113461935	0.014449357986450195	0.009418964385986328
117	12.317248554676732	12.004127243635812	0.160143777862346	2.698209526526875	0.009961366653442383	0.006908416748046875
118	12.317042881145252	12.00652486847958	0.16181090471462709	2.6787751115588065	0.009516239166259766	0.006806135177612305
119	12.316931137068826	12.009023939124443	0.16271666808170548	2.6585184078993422	0.01379704475402832	0.009023904800415039
120	12.312590087938537	12.00731070479753	0.19790388697214187	2.6724053622881105	0.01158595085144043	0.007726430892944336
121	12.310916666666644	12.008575050700646	0.21146812889217337	2.66215696041314	0.010940313339233398	0.0074155330657958984
122	12.322366545662144	12.02179272395171	0.11865890550133078	2.555018536509497	0.011955499649047852	0.00835418701171875
123	12.329009917129527	12.030755598582253	0.06480976466524854	2.4823682111971404	0.013875961303710938	0.010322093963623047
124	12.311835289679511	12.016314527678306	0.2040220512133946	2.5994231229612095	0.015318632125854492	0.01053476333618164
125	12.322282736397183	12.028871669925364	0.1193382378154132	2.4976387617102414	0.017358779907226562	0.010652542114257812
126	12.325109759999567	12.0339387939332	0.09642324760914373	2.4565662015393293	0.014597892761230469	0.010724306106567383
127	12.31965590468967	12.03091528123745	0.14063053364216743	2.4810738723466086	0.012671709060668945	0.008275032043457031
128	12.330506550776617	12.043727081680695	0.05267850925708113	2.3772253295066865	0.018157005310058594	0.012619256973266602
129	12.326282501220703	12.041856854541047	0.08691736531860751	2.3923848197042172	0.013637542724609375	0.008731842041015625
130	12.320860637009025	12.038691031711556	0.1308653412766299	2.418046013007093	0.014519929885864258	0.010367631912231445
131	12.319111515703279	12.03915092994267	0.14504318455920814	2.4143182183565766	0.028870582580566406	0.02306079864501953
132	12.314576233791133	12.036805967636269	0.18180479507843197	2.4333257668750714	0.027270078659057617	0.02005171775817871
133	12.321468820436003	12.045762406643982	0.12593559210118302	2.360727606756518	0.02604079246520996	0.013283014297485352
134	12.322989054410067	12.049121885278957	0.11361303964794374	2.3334966986191743	0.025296688079833984	0.011291742324829102
